"Date","Rev"
"November 11, 2017","Love getting my music on all devices."
"December 11, 2016","Love Pandora!! Can listen to my music on any device and in even in my car or on TV with DirectTV!"
"April 12, 2016","i love the app and listen to Pandora often. Is there a voice command in my phone that would make changing stations easier? Not sure but I wish there was"
"November 17, 2012","The pp just got an update that really helped smooth out a few problems or limitatikns in had, but its still got a few. Can always build a better mouse trap and all that jazz. Havent had any problems with it just not playing lile other have said. Its also awesome in the fact that it will play even when you hit the sleep button on the kindle fire hd, so you dont have to burn that baterry so much to listen to music."
"August 3, 2013","Very good app, but I wish they would allow for better mix of music like dj mixes. There are other app that give those options, like SoundCloud and FitRadio. It's a bit annoying to receive a message asking if I'm still there listening, like I'm supposed to be holding the phone at all times touching the menu buttons....stop it with the separation anxiety Pandora!!!"
"June 12, 2017","I love the music line up."
"June 7, 2017","Just freezes"
"January 22, 2017","I can change ambiance with a click to shuffle -- change mood at a click of a button. Love it!"
"July 10, 2017","I love Pandora and all the available material they share with listeners...being able to tailor make your own platforms for your preferences is beyong anything most music lovers would require. If you love music this is the site, especially with the option to get rid of the commercials...I highly reccomend this site"
"February 5, 2016","Its good so far wish i could play back my fav songs without going through all the radio stations, but i like the continuous play dont like tht they stop u from skipping"
"November 11, 2017","Love getting my music on all devices."
"December 11, 2016","Love Pandora!! Can listen to my music on any device and in even in my car or on TV with DirectTV!"
"April 12, 2016","i love the app and listen to Pandora often. Is there a voice command in my phone that would make changing stations easier? Not sure but I wish there was"
"November 17, 2012","The pp just got an update that really helped smooth out a few problems or limitatikns in had, but its still got a few. Can always build a better mouse trap and all that jazz. Havent had any problems with it just not playing lile other have said. Its also awesome in the fact that it will play even when you hit the sleep button on the kindle fire hd, so you dont have to burn that baterry so much to listen to music."
"August 3, 2013","Very good app, but I wish they would allow for better mix of music like dj mixes. There are other app that give those options, like SoundCloud and FitRadio. It's a bit annoying to receive a message asking if I'm still there listening, like I'm supposed to be holding the phone at all times touching the menu buttons....stop it with the separation anxiety Pandora!!!"
"June 12, 2017","I love the music line up."
"June 7, 2017","Just freezes"
"January 22, 2017","I can change ambiance with a click to shuffle -- change mood at a click of a button. Love it!"
"July 10, 2017","I love Pandora and all the available material they share with listeners...being able to tailor make your own platforms for your preferences is beyong anything most music lovers would require. If you love music this is the site, especially with the option to get rid of the commercials...I highly reccomend this site"
"February 5, 2016","Its good so far wish i could play back my fav songs without going through all the radio stations, but i like the continuous play dont like tht they stop u from skipping"
"March 10, 2016","Great app for students to use in the classroom when they earn positive breaks. I made a teacher login and made appropriate stations for the kids to listen too."
"September 8, 2016","I have found all of the music i thought was gone but not here i thank you for all your hard work i listen all the time"
"February 8, 2014","Amazing variety of free music and for a small monthly fee no ADs. I listen everything from Three Tenors, Bob Marley, CCR, Africa Jazz, Blues, Classical music, B.B King, Eric Clapton, Adel, Lord, Lena Horne to Dancehall Soca. They even have comedy stations. Works wonderfully on cellphones, kindles, tablets, and computers."
"July 25, 2013","Before teens in training bras, braces and socks in pants Pandora was there providing free radio and music that the local top 40 stations couldn't due to fat guys in suits making the rules. Now that the market is flooded with internet music providers, Pandora is still tops. Go Pandora. Even if I have to download an app for my digital manhood I still give them 5stars."
"July 9, 2015","I would love to rate Pandora better,but sometimes it works,other times it sticks and drains my battery.I love the variety of music Pandora plays.Please fix the kinks,Until you do I will not pay for radio free Pandora."
"January 3, 2014","I like this cause it plays based on taste and helps with channels for styles of music and variety of the time as you can select channels listen or not pending your mood to listen to what. Christmas jazz or rock and roll current. Oldies. I have it all and listen to what I like. Only down side is I cannot get it when I visit Canada."
"December 5, 2014","Used this app for years, and I'm sick of telling it to skip tracks all the time. I'm tired of it trying to play genres of music that absolutely don't belong in the channels I create. Overpriced app that tends to play music you don't like. Play quality is good."
"December 27, 2016","Great stations and good music could be less ads but it's not to bad love the thumbnail chanel"
"July 19, 2016","Great music station without to many commercials. It works with bluetooth to stream music to a speaker which you can use anywhere."
"November 12, 2014","dad likes it"
"November 29, 2015","Long time Pandora user and happy to have this app available for my new Microsoft Lumia 950! I have experienced no issues with this app and look forward to continued Pandora enjoyment."
"November 28, 2014","Gotta love pandora. Like a dream come true right? Create your own stations based on your own favorite songs. Skip a song if you don't like it or not in the mood? Does it get any better? How did I live without it? Besides what a way to get in the zone when working?"
"September 20, 2013","Pandora is a lot of fun. I love the fact that you can personalize the music you listen to by adding in an artist of your choice. However, I do have one complaint. The only thing I don't like is that sometimes you get music that shouldn't even be categorized next to a genre. If I type in ""Disturbed,"" I don't want ""Britney Spears."" Period."
"January 5, 2015","Pandora is wonderful, you have to train your stations just a little at first, but once you do it's fabulous. Much better than Spotify's radio function which offers little variety. It's obvious how much time and care they put into the music genome project."
"May 13, 2017","Every good"
"July 27, 2017","Just love this service."
"July 28, 2017","IT RARELY PLAYS MUSIC!!! CAN'T GET IT TO PLAY ON MY CAR BLOOTHOOTH"
"January 2, 2017","Wonderful! So much music and so many memories brought back by great music. So easy to use."
"December 18, 2016","I love Pandora. Don't mind the Ads, either. All works for me. I play on my tablet or laptop."
"January 13, 2017","I like it it is really Good and you need to add more stations please I love Pandora so much."
"May 4, 2015","Listen to it every day."
"September 23, 2014","I absolutely love it.🐷"
"June 2, 2016","All was well"
"July 9, 2015","love it....."
