"Date","Rev"
"on October 7, 2017","Spotify is way, way, way, way, way, way better music app than Pandora. It doesn't limit you on the musicians you actually like with awful musicians with a few of your favorite songs peppered in between garbage pail cousin music and brown water trash one hit wonders. Spotify let's you play whole albums and let's you make custom and endless playlists."
"on April 4, 2017","I love, love, love spotify !!!!! I'm 71 years and no very computer literate, if I can learn Spotify anyone can. I have found songs I used to listen to 55 years ago."
"on March 7, 2017","I love this app. I've tried them all (apple, amazon, pandora) and nothing compares. The suggestions are awesome, I'm finding new music all the time. Also, you can pick up where you left off on any device. Spotify is the best, period."
"on July 31, 2016","I love this app. I put it on my phone first, but I had so much music it was taking up all the room on my phone. I deleted it and thought I had lost all my music, but when I downloaded Spotify to my tablet, all my music had been saved and I still was able to access it. It is different than Pandora in that you only get music from the artists you select. If you click follow, you will receive new songs for that artist as they come in. There is a free version without too many ads and a paid version. Right now I have the free version, but I am thinking about purchasing the paid version. Either way, you have access to lots of great music from your favorite artists."
"on April 29, 2017","Great for listening to your favorite tunes and discovering new ones as well"
"on April 24, 2017","It is such a good app I fecomed this to anyone who love music"
"on October 14, 2017","Listening to music on demand has never been better than it is with Spotify. The app not only provides access to thousands of classic tracks, but it provides great recommendations for music you might like based on your listening history. Highly recommended!"
"on June 7, 2017","I really like being able to pull up my favorite songs and adding them to a playlist. I also really like how it recommends new music for me based on what I already listen to."
"on December 27, 2016","this literally has almost every song i have ever searched. plus offline mode is amazing!!"
"on April 10, 2016","This app is wonderfully diverse in its music content. You can create your own playlist or listen to individual songs. Typing in an artist name reveals lots of albums and hit songs."
"on October 7, 2017","Spotify is way, way, way, way, way, way better music app than Pandora. It doesn't limit you on the musicians you actually like with awful musicians with a few of your favorite songs peppered in between garbage pail cousin music and brown water trash one hit wonders. Spotify let's you play whole albums and let's you make custom and endless playlists."
"on April 4, 2017","I love, love, love spotify !!!!! I'm 71 years and no very computer literate, if I can learn Spotify anyone can. I have found songs I used to listen to 55 years ago."
"on March 7, 2017","I love this app. I've tried them all (apple, amazon, pandora) and nothing compares. The suggestions are awesome, I'm finding new music all the time. Also, you can pick up where you left off on any device. Spotify is the best, period."
"on July 31, 2016","I love this app. I put it on my phone first, but I had so much music it was taking up all the room on my phone. I deleted it and thought I had lost all my music, but when I downloaded Spotify to my tablet, all my music had been saved and I still was able to access it. It is different than Pandora in that you only get music from the artists you select. If you click follow, you will receive new songs for that artist as they come in. There is a free version without too many ads and a paid version. Right now I have the free version, but I am thinking about purchasing the paid version. Either way, you have access to lots of great music from your favorite artists."
"on April 29, 2017","Great for listening to your favorite tunes and discovering new ones as well"
"on April 24, 2017","It is such a good app I fecomed this to anyone who love music"
"on October 14, 2017","Listening to music on demand has never been better than it is with Spotify. The app not only provides access to thousands of classic tracks, but it provides great recommendations for music you might like based on your listening history. Highly recommended!"
"on June 7, 2017","I really like being able to pull up my favorite songs and adding them to a playlist. I also really like how it recommends new music for me based on what I already listen to."
"on December 27, 2016","this literally has almost every song i have ever searched. plus offline mode is amazing!!"
"on April 10, 2016","This app is wonderfully diverse in its music content. You can create your own playlist or listen to individual songs. Typing in an artist name reveals lots of albums and hit songs."
"on June 4, 2017","This app is amazing and you don't even have to get a premium account to get access to great music!"
"on July 13, 2016","I switched to Spotify from Pandora because I wanted to be able to choose the songs I wanted on my playlists while still having the option to create radio stations like on Pandora. They have a huge variety, so pretty much any song you're looking for, they'll have. The radio stations (created based on artists) tend to play a lot of the same songs over and over. I use the paid version so I don't have to listen to ads when I workout, and I'll continue to do so."
"on January 8, 2017","Can't live without iit!! It has opened up my musical perspectives so much & the Discovery Weekly playlist is so awesomely selected, I fell Spotify knows me!"
"on April 24, 2017","I love it especially if ur on a kindle fire like me bc u have unlimited skips but there are some ads I'm listening to it right know!"
"on November 9, 2017","I love Spotify!"
"on October 5, 2016","Best music app I've tried. Ads are not played often and you Can disable them if you pay."
"on January 9, 2015","I love this app. It's works very well and when I'm bored i just go on this app and listen. There's just one problem. Sometimes when I look at the music that i got it crashes and then I can never get back on app. I keep downloading it over and over and over and over and over again . It gets very frustrating. Is it possible if you can fix that?"
"on February 24, 2015","For being older and not technology savvy, this app is easy to use. The range of genres is excellent. Thanks Spotify!"
"on March 31, 2016","I love this app! It's runs great, and has all the song I'm looking for. The only severe flaw to this app would be that it needs WiFi for everything! You can't listen to any of the music if you don't have WiFi. Besides that great app!!"
"on August 21, 2017","Great app, I'm very happy!"
