"Date","Review"
"October 7, 2017","Spotify is way, way, way, way, way, way better music app than Pandora. It doesn't limit you on the musicians you actually like with awful musicians with a few of your favorite songs peppered in between garbage pail cousin music and brown water trash one hit wonders. Spotify let's you play whole albums and let's you make custom and endless playlists."
"April 4, 2017","I love, love, love spotify !!!!! I'm 71 years and no very computer literate, if I can learn Spotify anyone can. I have found songs I used to listen to 55 years ago."
"July 31, 2016","I love this app. I put it on my phone first, but I had so much music it was taking up all the room on my phone. I deleted it and thought I had lost all my music, but when I downloaded Spotify to my tablet, all my music had been saved and I still was able to access it. It is different than Pandora in that you only get music from the artists you select. If you click follow, you will receive new songs for that artist as they come in. There is a free version without too many ads and a paid version. Right now I have the free version, but I am thinking about purchasing the paid version. Either way, you have access to lots of great music from your favorite artists."
"March 7, 2017","I love this app. I've tried them all (apple, amazon, pandora) and nothing compares. The suggestions are awesome, I'm finding new music all the time. Also, you can pick up where you left off on any device. Spotify is the best, period."
"April 29, 2017","Great for listening to your favorite tunes and discovering new ones as well"
"April 24, 2017","It is such a good app I fecomed this to anyone who love music"
"October 14, 2017","Listening to music on demand has never been better than it is with Spotify. The app not only provides access to thousands of classic tracks, but it provides great recommendations for music you might like based on your listening history. Highly recommended!"
"June 7, 2017","I really like being able to pull up my favorite songs and adding them to a playlist. I also really like how it recommends new music for me based on what I already listen to."
"December 27, 2016","this literally has almost every song i have ever searched. plus offline mode is amazing!!"
"April 10, 2016","This app is wonderfully diverse in its music content. You can create your own playlist or listen to individual songs. Typing in an artist name reveals lots of albums and hit songs."
"September 25, 2015","4/5 because I liked the older version better."
"October 1, 2014","No problems here! glad to see the ability to control my devices via remote now functions properly! Totally worth it!"
"October 18, 2015","This is the only app that I will pay for"
"February 22, 2016","good to have"
"October 13, 2015","This is awesome with minimal commercials."
"January 30, 2016","I love it so much"
"February 28, 2015","I'm a former Pandora fan but I really enjoy picking what I want to listen to on spotty ."
"January 16, 2016","Not what I expected."
"November 9, 2014","Find everything I want"
"November 21, 2014","Free music, with unlimited streaming on any artists. Plus, great suggestions of music based on your moods."
"September 24, 2015","Definitely give it a shot, it'll be worth it."
"December 29, 2015","works great when working"
"December 18, 2014","Great, great"
"November 10, 2014","Love this app. Really like the suggestions it makes. Wish I could turn off the cussing in some of the songs."
"November 10, 2014","BEST MUSIC APP Ever!!!!!! Love it love it love it love love love love. Love love love love it love love love"
"February 16, 2016","It's the best"
"October 15, 2014","Great sound quality and easy to use I just love to use it and look up forgotten albums. It works flawlessly."
"January 20, 2016","4 Stars! Excellent!"
"August 13, 2015","There is a wide access to music, for reasonable price."
"December 25, 2014","Great everyday more and more! Free version su c k s, for the real fun get the premium version."
"January 15, 2015","I love this app,it's free and it makes it have many choices save your music and make playlists"
"September 19, 2015","Enjoy this but like Amazon Prime music better."
"January 30, 2015","Great app, user friendly, has every song that I've searched for, easy to use. No complaints!"
"March 13, 2016","It's ok"
"December 28, 2015","Great enjoy listening to"
"February 9, 2015","Enjoying this app greatly! Making my playlist, so much to choose from. Recommend this app!"
"March 22, 2016","Great"
"November 26, 2015","Get premium, its the bees knees"
"July 29, 2015","Totally worth the 10 dollars a month best music app ever."
"February 15, 2016","Love this app"
"September 23, 2014","This is the best app if you love music. I highly recommend getting this asap. Love to all the music lovers out there."
"December 27, 2015","Sporting is the bomb.com"
"July 19, 2015","I'd say perfect but.. I cannot. Why? IT NEEDS TAYLOR SWIFT."
"March 23, 2015","i love spotfify cause i can listen to my favorite music while i go about my chores"
"August 21, 2015","Great app! I use it to run church service at times."
